RECORD_ID,PRI_PAY_BNF_ADDR_LINE_1,PRI_PAY_BNF_ADDR_LINE_2,PRI_PAY_BNF_ADDR_LINE_3,PRI_PAY_ORDR_ADDR_LINE_1,PRI_PAY_ORDR_ADDR_LINE_2,PRI_PAY_ORDR_ADDR_LINE_3,PRI_SNDR_CORR_ADDR_LINE_1,PRI_SNDR_CORR_ADDR_LINE_2,PRI_SNDR_CORR_ADDR_LINE_3,INT_PAY_AGT_ADDR_1,INT_PAY_AGT_ADDR_2,INT_PAY_AGT_ADDR_3,INT_PAY_AGT_AGT_ADDR_1,INT_PAY_AGT_AGT_ADDR_2,INT_PAY_AGT_AGT_ADDR_3,INT_PAY_BNF_ADDR_LINE_1,INT_PAY_BNF_ADDR_LINE_2,INT_PAY_BNF_ADDR_LINE_3,INT_PAY_ORDR_ADDR_LINE_1,INT_PAY_ORDR_ADDR_LINE_2,INT_PAY_ORDR_ADDR_LINE_3,INT_SNDR_CORR_ADDR_LINE_1,INT_SNDR_CORR_ADDR_LINE_2,INT_SNDR_CORR_ADDR_LINE_3,PRI_RCV_PAY_AGT_ADDR_1,PRI_RCV_PAY_AGT_ADDR_2,PRI_RCV_PAY_AGT_ADDR_3,PRI_RCV_DEBTOR_ADDR_1,PRI_RCV_DEBTOR_ADDR_2,PRI_RCV_DEBTOR_ADDR_3,PRI_RCV_AGT_AGT_ADDR_1,PRI_RCV_AGT_AGT_ADDR_2,PRI_RCV_AGT_AGT_ADDR_3,INT_RCV_PAY_AGT_ADDR_1,INT_RCV_PAY_AGT_ADDR_2,INT_RCV_PAY_AGT_ADDR_3,INT_RCV_DEBTOR_ADDR_1,INT_RCV_DEBTOR_ADDR_2,INT_RCV_DEBTOR_ADDR_3,INT_RCV_AGT_AGT_ADDR_1,INT_RCV_AGT_AGT_ADDR_2,INT_RCV_AGT_AGT_ADDR_3,PRI_PAY_AGT_ADDR_1,PRI_PAY_AGT_ADDR_2,PRI_PAY_AGT_ADDR_3,PRI_PAY_AGT_AGT_ADDR_1,PRI_PAY_AGT_AGT_ADDR_2,PRI_PAY_AGT_AGT_ADDR_3,OTHER
CA0000000318,1 LINCOLN STREET,BOSTON MA 02111 US,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000000694,441-445 JIRON SANTA ROSA,LIMA,METRO MUNIC OF LIMA 15001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000000863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000001345,388 GREENWICH STREET,NEW YORK NY 10013-2632 US,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000001702,25A CASTLE ROAD AMBASSADORIAL AREA,ACCRA GREATER ACCRA GH,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000001855,23 CUSTOMS STREET EAST LEVEL 11,CITIGROUP CENTRE AUCKLAND AUCKLAND,1140 NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000002679,AERONAUTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA0000005849,TAIPEI HEAD OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
